City,Local time,Description,Temperature,UTC time
San Juan,Sat 6:24 pm,Passing clouds. Warm.,85 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Eucla,Sun 7:09 am,Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
San Salvador,Sat 4:24 pm,Passing clouds. Warm.,86 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Eureka,Sat 5:24 pm,Passing clouds. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Santiago,Sat 6:24 pm,Passing clouds. Refreshingly cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Fairbanks,Sat 2:24 pm,Sunny. Mild.,76 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Santo Domingo,Sat 6:24 pm,Scattered clouds. Warm.,87 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Fortaleza,Sat 7:24 pm,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
São Paulo,Sat 7:24 pm,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Frankfurt,Sun 12:24 am,Passing clouds. Mild.,63 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
São Tomé,Sat 10:24 pm,Passing clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Freetown,Sat 10:24 pm,Thunderstorms. Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Sarajevo,Sun 12:24 am,Clear. Cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Funafuti,Sun 10:24 am,Sprinkles. Overcast. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Seattle,Sat 3:24 pm,Sunny. Pleasantly warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Gaborone,Sun 12:24 am,Clear. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Seoul,Sun 7:24 am,Partly sunny. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Georgetown,Sat 6:24 pm,Partly sunny. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Shanghai,Sun 6:24 am,Partly sunny. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Gibraltar,Sun 12:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Singapore,Sun 6:24 am,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Gitega,Sun 12:24 am,Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Skopje,Sun 12:24 am,Clear. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Guatemala City,Sat 4:24 pm,Thunderstorms. Partly sunny. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Sofia,Sun 1:24 am,Clear. Cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Hagåtña,Sun 8:24 am,Passing clouds. Warm.,83 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Sri Jayawardenepura Kotte,Sun 3:54 am,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Halifax,Sat 7:24 pm,Low clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
St. John's,Sat 7:54 pm,Partly sunny. Cool.,46 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Hamilton,Sat 7:24 pm,Partly sunny. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Stanley,Sat 7:24 pm,Partly cloudy. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Hanoi,Sun 5:24 am,Clear. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Stockholm,Sun 12:24 am,Clear. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Happy Valley-Goose Bay,Sat 7:24 pm,Partly sunny. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Suva,Sun 10:24 am,Sprinkles. Partly sunny. Mild.,73 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Harare,Sun 12:24 am,Clear. Refreshingly cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Sydney,Sun 8:24 am,Sunny. Cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Havana,Sat 6:24 pm,Scattered clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Taipei,Sun 6:24 am,Partly sunny. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Helsinki,Sun 1:24 am,Rain. Passing clouds. Cool.,50 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tallinn,Sun 1:24 am,Sprinkles. Partly cloudy. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Hermosillo,Sat 3:24 pm,Scattered clouds. Extremely hot.,106 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tarawa,Sun 10:24 am,Scattered clouds. Warm.,86 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Hobart,Sun 8:24 am,Passing clouds. Cool.,50 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tashkent,Sun 3:24 am,Clear. Pleasantly warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Hong Kong,Sun 6:24 am,Scattered clouds. Warm.,86 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tbilisi,Sun 2:24 am,Passing clouds. Mild.,69 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Honiara,Sun 9:24 am,Partly sunny. Warm.,78 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tegucigalpa,Sat 4:24 pm,Partly sunny. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Honolulu,Sat 12:24 pm,Passing clouds. Warm.,85 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tehran,Sun 1:54 am,Clear. Pleasantly warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Houston,Sat 5:24 pm,Broken clouds. Hot.,88 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Thimphu,Sun 4:24 am,Rain. Overcast. Quite cool.,43 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Hovd,Sun 5:24 am,Passing clouds. Cool.,56 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tiksi,Sun 7:24 am,Overcast. Chilly.,37 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Indianapolis,Sat 6:24 pm,Overcast. Warm.,78 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tirana,Sun 12:24 am,Clear. Mild.,64 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Inuvik,Sat 4:24 pm,Partly sunny. Refreshingly cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tokyo,Sun 7:24 am,Overcast. Mild.,71 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Irkutsk,Sun 6:24 am,Overcast. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Toronto,Sat 6:24 pm,Passing clouds. Pleasantly warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Islamabad,Sun 3:24 am,Passing clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tórshavn,Sat 11:24 pm,Clear. Cool.,50 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Istanbul,Sun 1:24 am,Passing clouds. Mild.,63 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tromsø,Sun 12:24 am,Light rain. Broken clouds. Cool.,48 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ittoqqortoormiit,Sat 9:24 pm,Sunny. Chilly.,40 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Tunis,Sat 11:24 pm,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Izhevsk,Sun 2:24 am,Passing clouds. Cool.,60 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ulaanbaatar,Sun 6:24 am,Scattered clouds. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Jakarta,Sun 5:24 am,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Unalaska,Sat 2:24 pm,Broken clouds. Cool.,50 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Jerusalem,Sun 1:24 am,Refreshingly cool.,67 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ürümqi,Sun 6:24 am,Mild.,69 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Johannesburg,Sun 12:24 am,Clear. Refreshingly cool.,58 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Valletta,Sun 12:24 am,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Juneau,Sat 2:24 pm,Light rain. Mostly cloudy. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Vancouver,Sat 3:24 pm,Passing clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kaliningrad,Sun 12:24 am,Passing clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Vatican City,Sun 12:24 am,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kampala,Sun 1:24 am,Passing clouds. Warm.,80 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Verkhoyansk,Sun 8:24 am,Passing clouds. Cool.,46 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kangerlussuaq,Sat 9:24 pm,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Victoria,Sun 2:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kansas City,Sat 5:24 pm,Sunny. Warm.,85 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Vienna,Sun 12:24 am,Clear. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Karachi,Sun 3:24 am,Passing clouds. Warm.,86 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Vientiane,Sun 5:24 am,Fog. Warm.,80 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kathmandu,Sun 4:09 am,Passing clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Vilnius,Sun 1:24 am,Passing clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kemi,Sun 1:24 am,Sunny. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Vladivostok,Sun 8:24 am,Partly sunny. Cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Khatanga,Sun 5:24 am,Overcast. Quite cool.,44 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Wake Island,Sun 10:24 am,Passing clouds. Warm.,85 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kigali,Sun 12:24 am,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Warsaw,Sun 12:24 am,Passing clouds. Cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kingston,Sat 5:24 pm,Warm.,86 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Washington DC,Sat 6:24 pm,Partly sunny. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kinshasa,Sat 11:24 pm,Clear. Mild.,75 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Wellington,Sun 10:24 am,Clear. Cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kiritimati,Sun 12:24 pm,Passing clouds. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Whitehorse,Sat 3:24 pm,More clouds than sun. Mild.,63 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kolkata,Sun 3:54 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Windhoek,Sun 12:24 am,Refreshingly cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Komsomolsk-on-Amur,Sun 8:24 am,Passing clouds. Cool.,56 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Winnipeg,Sat 5:24 pm,Cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Krasnoyarsk,Sun 5:24 am,Fog. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Yakutsk,Sun 7:24 am,Sunny. Refreshingly cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kuala Lumpur,Sun 6:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Yamoussoukro,Sat 10:24 pm,Overcast. Warm.,88 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kuujjuaq,Sat 6:24 pm,Partly sunny. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Yangon,Sun 4:54 am,Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kuwait City,Sun 1:24 am,Clear. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Yaoundé,Sat 11:24 pm,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Kyiv,Sun 1:24 am,Passing clouds. Cool.,58 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Yekaterinburg,Sun 3:24 am,Passing clouds. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
La Paz (Bolivia),Sat 6:24 pm,Passing clouds. Refreshingly cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Yerevan,Sun 2:24 am,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lagos,Sat 11:24 pm,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Yuzhno-Sakhalinsk,Sun 9:24 am,Sprinkles. Fog. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lahore,Sun 3:24 am,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Zagreb,Sun 12:24 am,Clear. Mild.,64 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Las Vegas,Sat 3:24 pm,Sunny. Extremely hot.,107 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Zürich,Sun 12:24 am,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lhasa,Sun 6:24 am,Refreshingly cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lahore,Sun 3:24 am,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Zagreb,Sun 12:24 am,Clear. Mild.,64 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Las Vegas,Sat 3:24 pm,Sunny. Extremely hot.,107 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Zürich,Sun 12:24 am,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lhasa,Sun 6:24 am,Refreshingly cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lahore,Sun 3:24 am,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Zagreb,Sun 12:24 am,Clear. Mild.,64 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Las Vegas,Sat 3:24 pm,Sunny. Extremely hot.,107 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Zürich,Sun 12:24 am,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Lhasa,Sun 6:24 am,Refreshingly cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"

Abidjan,Sun 5:24 am,Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Lilongwe,Sun 7:24 am,Fog. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Abu Dhabi,Sun 9:24 am,Clear. Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Lima,Sun 12:24 am,Clear. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Accra,Sun 5:24 am,Clear. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Lisbon,Sun 6:24 am,Clear. Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Adak,Sat 8:24 pm,Low clouds. Quite cool.,44 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Ljubljana,Sun 7:24 am,Sunny. Cool.,57 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Addis Ababa,Sun 8:24 am,Partly sunny. Mild.,63 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Lomé,Sun 5:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Adelaide,Sun 2:54 pm,Cool.,60 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
London,Sun 6:24 am,Clear. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Algiers,Sun 6:24 am,Passing clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Longyearbyen,Sun 7:24 am,Partly sunny. Chilly.,37 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Alice Springs,Sun 2:54 pm,Sunny. Pleasantly warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Los Angeles,Sat 10:24 pm,Low clouds. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Almaty,Sun 10:24 am,Passing clouds. Pleasantly warm.,86 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Luanda,Sun 6:24 am,Passing clouds. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Alofi,Sat 6:24 pm,Partly cloudy. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Luxembourg,Sun 7:24 am,Scattered clouds. Cool.,50 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Amman,Sun 8:24 am,Haze. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Madrid,Sun 7:24 am,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Amsterdam,Sun 7:24 am,Passing clouds. Cool.,57 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Magadan,Sun 4:24 pm,Sprinkles. Overcast. Quite cool.,42 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Anadyr,Sun 5:24 pm,Overcast. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Majuro,Sun 5:24 pm,Cloudy. Hot.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Anchorage,Sat 9:24 pm,Partly sunny. Cool.,57 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Makassar,Sun 1:24 pm,Passing clouds. Hot.,91 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Ankara,Sun 8:24 am,Scattered clouds. Cool.,59 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Male,Sun 10:24 am,Passing clouds. Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Antananarivo,Sun 8:24 am,Scattered clouds. Cool.,61 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Managua,Sat 11:24 pm,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Apia,Sun 6:24 pm,Partly sunny. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Manama,Sun 8:24 am,Sunny. Extremely hot.,99 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Ashgabat,Sun 10:24 am,Clear. Warm.,86 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Manaus,Sun 1:24 am,Clear. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Astana,Sun 10:24 am,Passing clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Manila,Sun 1:24 pm,Partly sunny. Hot.,89 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Asuncion,Sun 2:24 am,Partly cloudy. Cool.,61 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Manokwari,Sun 2:24 pm,Scattered clouds. Hot.,92 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Athens,Sun 8:24 am,Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Maputo,Sun 7:24 am,Passing clouds. Mild.,66 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Atlanta,Sun 1:24 am,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Mary's Harbour,Sun 2:54 am,Passing clouds. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Auckland,Sun 5:24 pm,Overcast. Cool.,57 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Melbourne,Sun 3:24 pm,Overcast. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Baghdad,Sun 8:24 am,Sunny. Pleasantly warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Mexico City,Sat 11:24 pm,Passing clouds. Cool.,61 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Baker Lake,Sun 12:24 am,Overcast. Chilly.,36 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Miami,Sun 1:24 am,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Baku,Sun 9:24 am,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Midway,Sat 6:24 pm,Passing clouds. Warm.,78 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bamako,Sun 5:24 am,Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Minneapolis,Sun 12:24 am,Passing clouds. Mild.,63 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bandar Seri Begawan,Sun 1:24 pm,Broken clouds. Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Minsk,Sun 8:24 am,Partly sunny. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bangkok,Sun 12:24 pm,Passing clouds. Extremely hot.,93 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Monaco,Sun 7:24 am,Broken clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bangui,Sun 6:24 am,Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
